en	fr	de	tr	zh	it	fi
Enemies drop <color=#E54658>red orbs</color>. Collect them to level up and <b>pick one of three cards</b>. Weapon cards cost <color=#FFCD75>coins</color> - press <b>{0}</b> to reroll.	Les ennemis lâchent des <color=#E54658>orbes rouges</color>. Ramasse-les pour monter de niveau et <b>choisis une carte parmi trois</b>. Les cartes d'arme coûtent des <color=#FFCD75>pièces</color> - appuie sur <b>{0}</b> pour relancer.	Gegner lassen <color=#E54658>rote Kugeln</color> fallen. Sammle sie, um aufzusteigen, und <b>wähle eine von drei Karten</b>. Waffenkarten kosten <color=#FFCD75>Münzen</color> - drücke <b>{0}</b> zum Neu-Würfeln.	Düşmanlar <color=#E54658>kırmızı küreler</color> düşürür. Onları toplayıp seviye atla ve <b>üç karttan birini seç</b>. Silah kartları <color=#FFCD75>altın</color> ister - kartları yenilemek için <b>{0}</b>.	敌人会掉落<color=#E54658>红色光球</color>。收集它们来升级，并<b>从三张卡牌中选择一张</b>。武器卡需要<color=#FFCD75>金币</color>——按 <b>{0}</b> 刷新。	I nemici lasciano <color=#E54658>sfere rosse</color>. Raccoglile per salire di livello e <b>scegli una carta su tre</b>. Le carte arma costano <color=#FFCD75>monete</color> - premi <b>{0}</b> per rimescolare.	Viholliset pudottavat <color=#E54658>punaisia palloja</color>. Kerää ne noustaksesi tasolla ja <b>valitse yksi kolmesta kortista</b>. Asekortit maksavat <color=#FFCD75>kolikoita</color> - paina <b>{0}</b> arpoaksesi uudet.
You can carry up to <b>6 weapons</b>. Buy the <b>same weapon</b> again to <color=#C78BFF>MERGE</color> it into a stronger tier.	Tu peux porter jusqu'à <b>6 armes</b>. Achète la <b>même arme</b> à nouveau pour la <color=#C78BFF>FUSIONNER</color> en un niveau supérieur.	Du kannst bis zu <b>6 Waffen</b> tragen. Kaufe die <b>gleiche Waffe</b> erneut, um sie zu einer stärkeren Stufe zu <color=#C78BFF>VERSCHMELZEN</color>.	En fazla <b>6 silah</b> taşıyabilirsin. <b>Aynı silahı</b> tekrar alırsan daha güçlü bir kademeye <color=#C78BFF>BİRLEŞİR</color>.	你最多可以携带 <b>6 把武器</b>。再次购买<b>相同的武器</b>即可将其<color=#C78BFF>合成</color>为更高阶级。	Puoi portare fino a <b>6 armi</b>. Compra di nuovo la <b>stessa arma</b> per <color=#C78BFF>FONDERLA</color> in un livello più forte.	Voit kantaa enintään <b>6 asetta</b>. Osta <b>sama ase</b> uudelleen <color=#C78BFF>YHDISTÄÄKSESI</color> sen vahvemmaksi tasoksi.
Skill cards give you active abilities. Use them with <b>{0}</b>. They recharge over time, and some pairs unlock powerful <color=#73EFF7>SYNERGIES</color>.	Les cartes de compétence donnent des capacités actives. Utilise-les avec <b>{0}</b>. Elles se rechargent avec le temps, et certaines paires débloquent de puissantes <color=#73EFF7>SYNERGIES</color>.	Fähigkeitskarten geben dir aktive Fähigkeiten. Nutze sie mit <b>{0}</b>. Sie laden sich mit der Zeit auf, und manche Paare schalten starke <color=#73EFF7>SYNERGIEN</color> frei.	Yetenek kartları sana aktif güçler verir. Onları <b>{0}</b> ile kullan. Zamanla dolarlar ve bazı ikililer güçlü <color=#73EFF7>SİNERJİLER</color> açar.	技能卡会给予你主动能力。使用 <b>{0}</b> 释放。技能会随时间冷却，某些组合还能解锁强大的<color=#73EFF7>协同效果</color>。	Le carte abilità ti danno poteri attivi. Usali con <b>{0}</b>. Si ricaricano col tempo e alcune coppie sbloccano potenti <color=#73EFF7>SINERGIE</color>.	Taitokortit antavat aktiivisia kykyjä. Käytä niitä näppäimillä <b>{0}</b>. Ne latautuvat ajan myötä, ja jotkin parit avaavat voimakkaita <color=#73EFF7>SYNERGIOITA</color>.
Waves never end and keep getting harder. Watch the countdown at the top of the screen. <color=#E5533C>Bosses</color> hit hard - keep moving!	Les vagues ne s'arrêtent jamais et deviennent de plus en plus dures. Surveille le compte à rebours en haut de l'écran. Les <color=#E5533C>boss</color> frappent fort - reste en mouvement !	Die Wellen enden nie und werden immer härter. Achte auf den Countdown oben am Bildschirm. <color=#E5533C>Bosse</color> schlagen hart zu - bleib in Bewegung!	Dalgalar hiç bitmez ve giderek zorlaşır. Ekranın üstündeki geri sayımı takip et. <color=#E5533C>Bosslar</color> sert vurur - hareket etmeye devam et!	敌潮永无止境，并且越来越难。留意屏幕顶部的倒计时。<color=#E5533C>首领</color>攻击力很强——保持移动！	Le ondate non finiscono mai e diventano sempre più dure. Tieni d'occhio il conto alla rovescia in alto. I <color=#E5533C>boss</color> colpiscono forte - continua a muoverti!	Aallot eivät lopu koskaan ja vaikeutuvat jatkuvasti. Seuraa lähtölaskentaa ruudun yläreunassa. <color=#E5533C>Pomot</color> lyövät kovaa - pysy liikkeessä!
Kills <color=#73EFF7>charge</color> the floor tile under the enemy. Charge a <b>2x2</b> block to <color=#73EFF7>OVERLOAD</color> it: shock, slow or magnet for a few seconds.	Chaque élimination <color=#73EFF7>charge</color> la dalle sous l'ennemi. Charge un bloc <b>2x2</b> pour le <color=#73EFF7>SURCHARGER</color> : choc, ralentissement ou aimant pendant quelques secondes.	Kills <color=#73EFF7>laden</color> die Bodenplatte unter dem Gegner auf. Lade einen <b>2x2</b>-Block, um ihn zu <color=#73EFF7>ÜBERLADEN</color>: Schock, Verlangsamung oder Magnet für ein paar Sekunden.	Öldürdüğün düşmanın altındaki zemin <color=#73EFF7>şarj olur</color>. <b>2x2</b>'lik bir alanı doldurup <color=#73EFF7>AŞIRI YÜKLE</color>: birkaç saniyeliğine şok, yavaşlatma ya da mıknatıs.	击杀会为敌人脚下的地砖<color=#73EFF7>充能</color>。充满一个 <b>2x2</b> 区域即可使其<color=#73EFF7>过载</color>：在数秒内获得电击、减速或磁吸效果。	Le uccisioni <color=#73EFF7>caricano</color> la piastrella sotto il nemico. Carica un blocco <b>2x2</b> per <color=#73EFF7>SOVRACCARICARLO</color>: scossa, rallentamento o magnete per qualche secondo.	Tapot <color=#73EFF7>lataavat</color> vihollisen alla olevan lattialaatan. Lataa <b>2x2</b>-alue <color=#73EFF7>YLIKUORMITTAAKSESI</color> sen: sähköisku, hidastus tai magneetti muutamaksi sekunniksi.
Enemies raid one of the four <color=#A7F070>reactors</color>. Follow the arrow and defend it to make loot burst out. If it falls, you lose <color=#FFCD75>coins</color>.	Les ennemis attaquent l'un des quatre <color=#A7F070>réacteurs</color>. Suis la flèche et défends-le pour faire jaillir du butin. S'il tombe, tu perds des <color=#FFCD75>pièces</color>.	Gegner greifen einen der vier <color=#A7F070>Reaktoren</color> an. Folge dem Pfeil und verteidige ihn, damit Beute herausspringt. Fällt er, verlierst du <color=#FFCD75>Münzen</color>.	Düşmanlar dört <color=#A7F070>reaktörden</color> birine baskın yapar. Oku takip et ve onu savun, etrafına ödül saçılsın. Yıkılırsa <color=#FFCD75>altın</color> kaybedersin.	敌人会袭击四座<color=#A7F070>反应堆</color>之一。跟随箭头前去保卫它，就能让战利品喷涌而出。若被摧毁，你将失去<color=#FFCD75>金币</color>。	I nemici assaltano uno dei quattro <color=#A7F070>reattori</color>. Segui la freccia e difendilo per far esplodere il bottino. Se cade, perdi <color=#FFCD75>monete</color>.	Viholliset hyökkäävät yhteen neljästä <color=#A7F070>reaktorista</color>. Seuraa nuolta ja puolusta sitä, niin saalista purskahtaa ulos. Jos se tuhoutuu, menetät <color=#FFCD75>kolikoita</color>.
When a run ends you earn <color=#73EFF7>CORE</color>. Spend it in <color=#73EFF7>UPGRADES</color> on the main menu for permanent bonuses and new unlocks.	À la fin d'une partie, tu gagnes du <color=#73EFF7>CORE</color>. Dépense-le dans <color=#73EFF7>AMÉLIORATIONS</color> au menu principal pour des bonus permanents et de nouveaux déblocages.	Am Ende eines Runs erhältst du <color=#73EFF7>CORE</color>. Gib es im Hauptmenü unter <color=#73EFF7>UPGRADES</color> für dauerhafte Boni und neue Freischaltungen aus.	Oyun bitince <color=#73EFF7>CORE</color> kazanırsın. Ana menüdeki <color=#73EFF7>GELİŞTİRMELER</color>'de harcayarak kalıcı bonuslar ve yeni içerikler aç.	每局结束时你会获得 <color=#73EFF7>CORE</color>。在主菜单的<color=#73EFF7>强化</color>中使用它，获得永久加成并解锁新内容。	Alla fine di una partita guadagni <color=#73EFF7>CORE</color>. Spendilo in <color=#73EFF7>POTENZIAMENTI</color> nel menu principale per bonus permanenti e nuovi sblocchi.	Pelin päättyessä ansaitset <color=#73EFF7>COREA</color>. Käytä sitä päävalikon kohdassa <color=#73EFF7>PÄIVITYKSET</color> pysyviin bonuksiin ja uusiin avauksiin.
# --- Dalga görevleri (WaveQuests) ---
WAVE {0} QUEST	QUÊTE VAGUE {0}	WELLE {0} AUFGABE	{0}. DALGA GÖREVİ	第 {0} 波任务	MISSIONE ONDATA {0}	AALLON {0} TEHTÄVÄ
QUEST COMPLETE!	QUÊTE ACCOMPLIE !	AUFGABE ERFÜLLT!	GÖREV TAMAM!	任务完成！	MISSIONE COMPLETATA!	TEHTÄVÄ SUORITETTU!
QUEST FAILED	QUÊTE ÉCHOUÉE	AUFGABE FEHLGESCHLAGEN	GÖREV BAŞARISIZ	任务失败	MISSIONE FALLITA	TEHTÄVÄ EPÄONNISTUI
COINS	PIÈCES	MÜNZEN	ALTIN	金币	MONETE	KOLIKKOA
HP	PV	LP	CAN	生命	PS	HP
Kill {0} enemies	Élimine {0} ennemis	Besiege {0} Gegner	{0} düşman öldür	击杀 {0} 个敌人	Uccidi {0} nemici	Tapa {0} vihollista
Kill {0} enemies in an overloaded zone	Élimine {0} ennemis dans une zone surchargée	Besiege {0} Gegner in einer überladenen Zone	Aşırı yüklü alanda {0} düşman öldür	在过载区域内击杀 {0} 个敌人	Uccidi {0} nemici in una zona sovraccarica	Tapa {0} vihollista ylikuormitetulla alueella
Overload a floor block	Surcharge un bloc de sol	Überlade einen Bodenblock	Bir zemin bloğunu aşırı yükle	使一个地面区块过载	Sovraccarica un blocco del pavimento	Ylikuormita yksi lattia-alue
Overload {0} floor blocks	Surcharge {0} blocs de sol	Überlade {0} Bodenblöcke	{0} zemin bloğunu aşırı yükle	使 {0} 个地面区块过载	Sovraccarica {0} blocchi del pavimento	Ylikuormita {0} lattia-aluetta
Take no damage for {0}s	Ne subis aucun dégât pendant {0}s	Nimm {0}s lang keinen Schaden	{0}sn hasar alma	{0}秒内不受伤害	Non subire danni per {0}s	Älä ota vahinkoa {0}s
Collect {0} coins	Ramasse {0} pièces	Sammle {0} Münzen	{0} altın topla	收集 {0} 枚金币	Raccogli {0} monete	Kerää {0} kolikkoa
WAVE QUESTS	QUÊTES DE VAGUE	WELLENAUFGABEN	DALGA GÖREVLERİ	波次任务	MISSIONI D'ONDATA	AALTOTEHTÄVÄT
Complete the <color=#FFCD75>WAVE QUEST</color> before the wave ends to earn a bonus!	Accomplis la <color=#FFCD75>QUÊTE DE VAGUE</color> avant la fin de la vague pour gagner un bonus !	Erfülle die <color=#FFCD75>WELLENAUFGABE</color> vor dem Ende der Welle, um einen Bonus zu erhalten!	Bonus kazanmak için <color=#FFCD75>DALGA GÖREVİNİ</color> dalga bitmeden tamamla!	在本波结束前完成<color=#FFCD75>波次任务</color>即可获得奖励！	Completa la <color=#FFCD75>MISSIONE D'ONDATA</color> prima che l'ondata finisca per ottenere un bonus!	Suorita <color=#FFCD75>AALTOTEHTÄVÄ</color> ennen aallon loppua saadaksesi bonuksen!
Each wave brings a small <color=#FFCD75>QUEST</color> (top right). Finish it before the wave ends to earn coins, EXP or health.	Chaque vague apporte une petite <color=#FFCD75>QUÊTE</color> (en haut à droite). Termine-la avant la fin de la vague pour gagner des pièces, de l'EXP ou de la vie.	Jede Welle bringt eine kleine <color=#FFCD75>AUFGABE</color> (oben rechts). Erfülle sie vor dem Ende der Welle für Münzen, EXP oder Leben.	Her dalga küçük bir <color=#FFCD75>GÖREV</color> getirir (sağ üstte). Dalga bitmeden tamamla; altın, EXP ya da can kazan.	每一波都会带来一个小<color=#FFCD75>任务</color>（右上角）。在本波结束前完成，即可获得金币、经验或生命。	Ogni ondata porta una piccola <color=#FFCD75>MISSIONE</color> (in alto a destra). Completala prima della fine dell'ondata per ottenere monete, EXP o salute.	Jokainen aalto tuo pienen <color=#FFCD75>TEHTÄVÄN</color> (oikeassa yläkulmassa). Suorita se ennen aallon loppua ja ansaitse kolikoita, EXP:tä tai terveyttä.
